code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sz.300454,2018-04-25,2018-03-31,2.873026,0.093194,73.409219,49192625.18,1.827841,40.815091,29.6274,652.642672,800.0,652.642672
sz.300454,2018-08-20,2018-06-30,0.053494,0.105958,0.743562,124855635.34,1.469434,,,0.12903,0.096774,0.12903
sz.300454,2018-10-27,2018-09-30,0.128634,0.151651,0.73461,312804185.18,1.533715,,,0.14655,0.078947,0.14655
sz.300454,2019-04-13,2018-12-31,0.233017,0.187094,0.733234,603275680.0,1.496468,0.974916,0.763017,0.051884,-0.025157,0.051884
sz.300454,2019-04-27,2019-03-31,-0.010228,-0.054663,0.69964,-35073975.52,1.287439,1.031699,0.860068,-1.712993,-1.642857,-1.712993
sz.300454,2019-08-23,2019-06-30,0.019311,0.042891,0.715711,66849533.91,1.352613,0.190839,0.324496,-0.464585,-0.5,-0.464585
sz.300454,2019-10-25,2019-09-30,0.08696,0.112028,0.718383,312726691.77,1.496354,0.202406,0.238429,-0.000248,-0.04878,-0.000248
sz.300454,2020-04-15,2019-12-31,0.195633,0.165341,0.721855,758899876.93,1.855757,0.257041,0.319546,0.257965,0.225806,0.257965
sz.300454,2020-04-25,2020-03-31,-0.045494,-0.318156,0.662883,-193694748.36,1.467937,0.225961,0.206842,-4.522463,-4.333333,-4.522463
sz.300454,2020-08-24,2020-06-30,-0.029309,-0.072045,0.687971,-125658874.55,1.384579,0.220171,0.30371,-2.879727,-2.882353,-2.879727
sz.300454,2020-10-27,2020-09-30,0.015699,0.021344,0.691097,69247876.17,1.260153,0.198685,0.32654,-0.778567,-0.782051,-0.778567
sz.300454,2021-04-20,2020-12-31,0.149443,0.148281,0.699845,809375598.76,1.95588,0.506825,0.425754,0.066512,0.057895,0.066512
sz.300454,2021-04-29,2021-03-31,-0.014735,-0.087981,0.664682,-96075719.14,2.191823,0.556686,0.605145,0.503984,0.520833,0.503984
sz.300454,2021-08-20,2021-06-30,-0.020365,-0.051414,0.668694,-132954426.37,1.93798,0.538982,0.448502,-0.058058,-0.03125,-0.058058
sz.300454,2021-10-28,2021-09-30,-0.020213,-0.03028,0.653394,-132505856.79,1.468282,0.466355,0.360001,-2.913501,-2.941176,-2.913501
sz.300454,2022-04-20,2021-12-31,0.0395,0.040097,0.654899,272857861.09,0.656361,0.121926,0.134064,-0.662879,-0.666667,-0.662879
sz.300454,2022-04-27,2022-03-31,-0.07363,-0.45258,0.588646,-517748952.74,-0.358029,0.035178,0.065813,-4.388968,-4.434783,-4.388968
sz.300454,2022-08-27,2022-06-30,-0.09933,-0.24496,0.613165,-689565574.37,-0.682786,0.005076,0.054705,-4.186481,-4.060606,-4.186481
sz.300454,2022-10-28,2022-09-30,-0.099577,-0.146752,0.623192,-696716103.16,-0.700901,0.013399,0.068763,-4.258002,-4.121212,-4.258002
sz.300454,2023-04-14,2022-12-31,0.025846,0.026194,0.638212,194169353.99,0.467179,0.056877,0.112581,-0.288386,-0.298507,-0.288386
sz.300454,2023-04-26,2023-03-31,-0.053195,-0.33968,0.62112,-411972943.06,0.7195,0.14943,0.169041,0.2043,0.208,0.2043
sz.300454,2023-08-31,2023-06-30,-0.072001,-0.188694,0.644753,-553617411.62,0.792125,0.163436,0.150001,0.19715,0.203593,0.197301
sz.300454,2023-10-26,2023-09-30,-0.069943,-0.113497,0.651155,-545714309.17,0.828317,0.178159,0.317318,0.216734,0.224852,0.216932
sz.300454,2024-04-10,2023-12-31,0.023942,0.025929,0.651335,198675664.77,0.471265,0.140535,0.233583,0.023208,0.0,0.018854
sz.300454,2024-04-26,2024-03-31,-0.057172,-0.472366,0.581783,-488936931.17,0.28829,0.067437,0.2552,-0.186818,-0.171717,-0.186401
sz.300454,2024-08-23,2024-06-30,-0.069698,-0.218708,0.613431,-592117278.04,0.379657,0.068712,0.226857,-0.069542,-0.06015,-0.069433
sz.300454,2024-10-25,2024-09-30,-0.067769,-0.125138,0.606045,-579833937.62,0.390009,0.053481,-0.011972,-0.062523,-0.053435,-0.062476
sz.300454,2025-03-29,2024-12-31,0.021907,0.026157,0.614662,196696922.0,0.466666,0.041207,0.012876,-0.00996,0.0,-0.004859
sz.300454,2025-04-25,2025-03-31,-0.027476,-0.197823,0.60382,-249624825.26,1.033487,0.085604,-0.052298,0.489454,0.491379,0.489274
sz.300454,2025-08-22,2025-06-30,-0.025016,-0.075646,0.620922,-227644057.21,1.330161,0.104053,-0.010888,0.615542,0.617021,0.615431
sz.300454,2025-10-28,2025-09-30,-0.008768,-0.015718,0.60936,-80563843.03,1.649666,0.109166,0.08004,0.861057,0.862319,0.861016
sz.300454,2026-04-01,2025-12-31,0.041644,0.048836,0.593066,392791954.44,0.933822,0.05762,0.09368,0.99694,0.978723,0.995195
sz.300454,2026-04-28,2026-03-31,-0.006273,-0.039654,0.603268,-64503007.68,1.33913,0.207309,0.121146,0.7416,0.745763,0.7416
