date,code,open,high,low,close,preclose,volume,amount,turnover_rate,tradestatus,pct_change,pe_ttm,pb_mrq,ps_ttm,pcf_ncf_ttm,is_st
2018-05-16,sz.300454,35.83216648,43.0025723,35.83216648,43.0025723,29.86344917,24566,1057575.8,0.0614,1,43.99734,27.422528,10.285846,6.601748,-198.3662,0
2018-05-17,sz.300454,47.30282953,47.30282953,47.30282953,47.30282953,43.0025723,8804,419334.52,0.022004,1,10.0,30.164781,11.31443,7.261923,-218.20282,0
2018-05-18,sz.300454,52.03013309,52.03013309,52.03013309,52.03013309,47.30282953,13870,726649.3,0.034666,1,9.993698,33.17936,12.445161,7.987657,-240.009358,0
2018-05-21,sz.300454,57.23413953,57.23413953,57.23413953,57.23413953,52.03013309,19623,1130873.49,0.049045,1,10.00191,36.497929,13.689914,8.786576,-264.014875,0
2018-05-22,sz.300454,62.95457409,62.95457409,62.95457409,62.95457409,57.23413953,55944,3546290.16,0.139825,1,9.994791,40.145822,15.058193,9.664776,-290.402619,0
2018-05-23,sz.300454,69.25102463,69.25102463,69.25102463,69.25102463,62.95457409,55773,3889051.29,0.139398,1,10.00158,44.161037,16.56425,10.631406,-319.447462,0
2018-05-24,sz.300454,76.1731477,76.1731477,76.1731477,76.1731477,69.25102463,60211,4618183.7,0.15049,1,9.995687,48.575241,18.219962,11.694089,-351.378465,0
2018-05-25,sz.300454,83.79046247,83.79046247,83.79046247,83.79046247,76.1731477,158820,13399643.4,0.396951,1,10.00001,53.432765,20.041958,12.863498,-386.516311,0
2018-05-28,sz.300454,92.17248811,92.17248811,92.17248811,92.17248811,83.79046247,245978,22829218.18,0.614791,1,10.00355,58.777942,22.046867,14.150305,-425.181686,0
2018-05-29,sz.300454,101.38874379,101.38874379,101.38874379,101.38874379,92.17248811,479528,48955013.52,1.19852,1,9.998921,64.655102,24.251316,15.565183,-467.695273,0
2018-05-30,sz.300454,111.5286113,111.5286113,102.292493,103.23596745,101.38874379,21212162,2295366544.09,53.017151,1,1.821923,65.833068,24.693156,15.848769,-476.216315,0
2018-05-31,sz.300454,113.56452985,113.56452985,110.61493078,113.56452985,103.23596745,23146994,2638378902.98,57.853022,1,10.00481,72.419541,27.163659,17.434408,-523.860853,0
2018-06-01,sz.300454,117.189458,121.38047082,108.251279,110.1382279,113.56452985,17573771,2038595385.86,43.923447,1,-3.01705,70.234605,26.344117,16.908402,-508.055694,0
2018-06-04,sz.300454,113.22686531,118.74867367,110.16802183,113.7134995,110.1382279,13573406,1555548696.24,33.925034,1,3.246166,72.514538,27.199291,17.457278,-524.548034,0
2018-06-05,sz.300454,112.05497073,125.08484945,109.3437231,125.08484945,113.7134995,14208052,1671516832.29,35.511252,1,9.999997,79.765992,29.919221,19.203005,-577.002837,0
2018-06-06,sz.300454,128.113899,129.8022217,120.21850755,122.6516785,125.08484945,15081683,1902603865.91,37.694784,1,-1.945214,78.214371,29.337227,18.829465,-565.778884,0
2018-06-07,sz.300454,122.3537392,124.40952037,117.77540529,122.5523654,122.6516785,10187291,1241722533.28,25.461862,1,-0.08097,78.15104,29.313472,18.814219,-565.320763,0
2018-06-08,sz.300454,121.48971523,127.96492935,120.7647296,122.3537392,122.5523654,9970464,1250681752.65,24.91993,1,-0.162078,78.024377,29.265962,18.783726,-564.404522,0
2018-06-11,sz.300454,117.29870241,118.82812415,111.39950427,117.57677909,122.3537392,11679011,1362675923.59,29.19023,1,-3.904219,74.978133,28.123355,18.050368,-542.368923,0
2018-06-12,sz.300454,116.196327,117.6860235,111.4292982,114.68676788,117.57677909,7855266,910177450.76,19.633257,1,-2.457974,73.135187,27.432089,17.606694,-529.037615,0
2018-06-13,sz.300454,112.33304741,126.15743093,110.46596113,118.70894843,114.68676788,13820431,1672725017.51,34.542442,1,3.507097,75.700112,28.39416,18.224178,-547.591498,0
2018-06-14,sz.300454,119.17572,130.03064183,119.17572,122.79071684,118.70894843,12410396,1549836814.82,31.018235,1,3.438468,78.303035,29.370484,18.85081,-566.420252,0
2018-06-15,sz.300454,120.84418008,127.69678398,115.32237172,122.80064815,122.79071684,10846073,1330768777.83,27.108405,1,0.00809,78.309368,29.372859,18.852335,-566.466064,0
2018-06-19,sz.300454,120.7647296,129.07723607,113.6141864,117.19938931,122.80064815,11549610,1427818241.36,28.866808,1,-4.561261,74.737473,28.033086,17.992431,-540.628065,0
2018-06-20,sz.300454,116.72268643,128.91833511,112.223803,126.35605713,117.19938931,16391878,2043526379.07,40.969453,1,7.812898,80.576635,30.223283,19.398161,-582.86678,0
2018-06-21,sz.300454,124.36979513,126.10777438,113.72343081,113.72343081,126.35605713,16708937,2002376587.99,41.761902,1,-9.997643,72.520872,27.201667,17.458802,-524.593846,0
2018-06-22,sz.300454,107.26807931,110.19781576,102.35208086,104.278755,113.72343081,11857030,1258755884.4,29.635166,1,-8.304954,66.498048,24.942582,16.008857,-481.026581,0
2018-06-25,sz.300454,104.45751858,107.3574611,100.9021096,100.9021096,104.278755,8139712,853024484.3,20.344194,1,-3.238097,64.344778,24.134917,15.490475,-465.450482,0
2018-06-26,sz.300454,102.7890585,109.80056336,101.80585881,106.9602087,100.9021096,9255989,986662582.91,23.134189,1,6.003936,68.207998,25.583962,16.420513,-493.395836,0
2018-06-27,sz.300454,105.5698253,110.29712886,104.38799941,108.31086686,106.9602087,7780435,845096634.28,19.446226,1,1.262768,69.069306,25.907028,16.627866,-499.626276,0
2018-06-28,sz.300454,108.8471576,111.55840523,98.97543546,99.27337476,108.31086686,7842207,832376688.66,19.600617,1,-8.344029,63.306142,23.745338,15.240432,-457.937305,0
2018-06-29,sz.300454,100.75313995,109.20468476,99.8096655,109.20468476,99.27337476,9483444,1018189621.45,23.702684,1,10.004,69.639289,26.120822,16.765085,-503.749361,0
2018-07-02,sz.300454,113.30631579,115.09395159,109.68138764,111.36971034,109.20468476,10915197,1237004622.65,27.281172,1,1.982539,71.019916,26.638677,17.097459,-513.736389,0
